DATE,ALLSKY_KT,T2M,PRECTOTCORR,PS,WS10M,Status
10/5/2017,0.45,19.52,1.79,87.79,0.6,TIDAK BERPOTENSI UPWELLING
10/6/2017,0.45,19.65,29.04,87.8,0.69,BERPOTENSI UPWELLING
10/7/2017,0.38,20.25,31.35,87.78,0.8,BERPOTENSI UPWELLING
10/8/2017,0.48,20.27,47.35,87.7,0.76,BERPOTENSI UPWELLING
10/9/2017,0.34,19.75,42.96,87.6,1.11,BERPOTENSI UPWELLING
10/10/2017,0.38,19.13,39.63,87.6,1.34,BERPOTENSI UPWELLING
10/11/2017,0.27,19.14,6.77,87.72,1.34,TIDAK BERPOTENSI UPWELLING
10/12/2017,0.6,18.91,7.48,87.8,1.02,TIDAK BERPOTENSI UPWELLING
10/13/2017,0.26,18.56,10.38,87.82,1.15,TIDAK BERPOTENSI UPWELLING
10/14/2017,0.58,18.72,2.16,87.81,1.23,TIDAK BERPOTENSI UPWELLING
10/15/2017,0.58,17.44,0.02,87.88,1.28,TIDAK BERPOTENSI UPWELLING
10/16/2017,0.62,18.14,0,87.89,1.37,TIDAK BERPOTENSI UPWELLING
10/17/2017,0.7,18.62,0,87.87,1.18,TIDAK BERPOTENSI UPWELLING
10/18/2017,0.7,19.18,0,87.94,1.16,TIDAK BERPOTENSI UPWELLING
10/19/2017,0.72,19.08,0,88.01,1.08,TIDAK BERPOTENSI UPWELLING
10/20/2017,0.65,20.24,0,88.08,0.81,TIDAK BERPOTENSI UPWELLING
10/21/2017,0.72,20.87,0.02,88.06,0.84,TIDAK BERPOTENSI UPWELLING
10/22/2017,0.72,20.31,0.08,88,0.95,TIDAK BERPOTENSI UPWELLING
10/23/2017,0.64,20.68,1.87,87.97,0.7,TIDAK BERPOTENSI UPWELLING
10/24/2017,0.49,20.18,10.8,88.02,0.73,TIDAK BERPOTENSI UPWELLING
